,location,bhk,total_sqft,bath,price,encoded_loc
1867,EPIP Zone,4,3035.0,5.0,200.0,76
1868,others,3,1533.0,3.0,85.0,240
1869,Akshaya Nagar,3,1720.0,3.0,134.0,12
1870,Yeshwanthpur,2,1185.0,2.0,75.84,239
1871,Varthur Road,2,900.0,2.0,27.0,227
1872,Electronic City Phase II,2,1031.0,2.0,56.35,78
1873,Uttarahalli,3,1330.0,2.0,46.55,225
1874,Hennur,2,1259.0,2.0,57.0,98
1875,Raja Rajeshwari Nagar,3,1570.0,3.0,88.0,193
1876,Bisuvanahalli,3,1075.0,2.0,36.0,49
1877,Whitefield,2,1216.0,2.0,79.0,234
1878,Sarjapur  Road,3,1428.0,2.0,66.0,203
1879,Begur Road,2,1160.0,2.0,40.59,42
1880,others,3,1475.0,3.0,70.0,240
1881,Harlur,3,1754.0,3.0,135.0,94
1882,Rayasandra,3,1639.0,3.0,83.0,198
1883,Hennur Road,3,1804.0,3.0,102.0,99
1884,Whitefield,3,1200.0,3.0,56.2,234
1885,others,2,1135.0,2.0,55.0,240
1886,Begur Road,2,1260.0,2.0,46.62,42
1887,Hennur Road,3,2160.0,3.0,160.0,99
1888,Rachenahalli,2,1220.0,2.0,59.5,192
1889,Margondanahalli,2,1200.0,2.0,67.0,166
1890,Yelahanka,2,1300.0,2.0,65.0,236
1891,Cox Town,1,605.0,1.0,29.0,65
1892,Bhoganhalli,2,1444.0,2.0,75.97,46
1893,Amruthahalli,2,924.0,2.0,45.0,15
1894,Kaikondrahalli,2,1000.0,2.0,30.0,124
1895,Bisuvanahalli,2,845.0,2.0,29.0,49
1896,Kanakpura Road,2,700.0,2.0,35.0,131
1897,Kothanur,2,1187.0,2.0,58.0,150
1898,Kaggadasapura,3,1625.0,3.0,55.0,122
1899,Devarachikkanahalli,2,1200.0,2.0,83.0,69
1900,others,2,1452.55,2.0,110.0,240
1901,others,3,2357.0,3.0,151.0,240
1902,Kaval Byrasandra,2,1200.0,2.0,49.5,137
1903,Budigere,2,1139.0,2.0,56.85,55
1904,Kanakpura Road,3,1660.0,3.0,75.0,131
1905,Somasundara Palya,2,1448.0,2.0,68.0,211
1906,Kadugodi,3,1762.0,3.0,110.0,121
1907,Kaggadasapura,2,1105.0,2.0,38.65,122
1908,Yelahanka,3,1825.0,3.0,105.0,236
1909,Thanisandra,2,1185.0,2.0,43.0,218
1910,Electronic City Phase II,3,1320.0,2.0,38.12,78
1911,Hulimavu,2,1058.0,2.0,48.0,108
1912,Bellandur,2,1220.0,2.0,60.0,43
1913,Old Madras Road,2,1200.0,2.0,72.0,183
1914,Kengeri,3,1160.0,2.0,40.6,139
1915,others,3,1411.0,3.0,91.72,240
1916,Bannerghatta Road,3,1550.0,3.0,78.0,37
1917,Green Glen Layout,4,3250.0,4.0,230.0,86
1918,Haralur Road,3,2475.0,4.0,130.0,93
1919,Jakkur,4,3181.0,2.0,260.5,114
1920,7th Phase JP Nagar,4,2503.0,4.0,188.0,7
1921,Marathahalli,4,2524.0,5.0,190.0,165
1922,Kaggadasapura,2,1063.0,2.0,42.0,122
1923,Kanakpura Road,2,1077.0,2.0,37.7,131
1924,others,2,1200.0,3.0,44.0,240
1925,Hosakerehalli,4,1500.0,3.0,70.0,105
1926,Jalahalli,2,1045.0,2.0,76.77,115
1927,Kanakapura,3,1290.0,2.0,45.15,130
1928,Hoodi,2,1400.0,2.0,78.0,100
1929,Begur Road,3,1600.0,3.0,58.14,42
1930,Nagavara,3,1545.0,2.0,58.0,176
1931,Sarjapur  Road,3,1680.0,3.0,112.0,203
1932,others,2,1350.0,2.0,67.5,240
1933,Gottigere,2,950.0,2.0,38.0,85
1934,Thanisandra,2,1050.0,2.0,45.0,218
1935,Banashankari Stage V,3,1305.0,2.0,49.0,32
1936,others,3,1100.0,3.0,78.0,240
1937,Thanisandra,6,3500.0,5.0,160.0,218
1938,Begur Road,3,1634.0,3.0,83.33,42
1939,Prithvi Layout,2,1352.0,2.0,85.0,190
1940,Balagere,2,1145.0,2.0,65.0,28
1941,others,2,1240.0,2.0,43.79,240
1942,Bommasandra Industrial Area,2,1020.0,2.0,39.0,52
1943,Raja Rajeshwari Nagar,2,1168.0,2.0,61.0,193
1944,Electronic City Phase II,2,1205.0,2.0,75.0,78
1945,CV Raman Nagar,2,1028.0,2.0,49.0,56
1946,others,2,1175.0,2.0,48.27,240
1947,Pai Layout,3,1550.0,2.0,90.0,185
1948,Hoodi,5,2400.0,5.0,160.0,100
1949,Yelahanka,3,1603.0,3.0,96.0,236
1950,Marathahalli,3,1350.0,3.0,72.0,165
1951,KR Puram,1,714.0,1.0,28.0,119
1952,Whitefield,2,1215.0,2.0,65.0,234
1953,Malleshpalya,3,1405.0,2.0,77.0,163
1954,KR Puram,2,1142.0,2.0,51.0,119
1955,others,4,4000.0,4.0,170.0,240
1956,Whitefield,3,1870.0,3.0,90.0,234
1957,Subramanyapura,2,1313.0,2.0,73.0,214
1958,others,3,1945.0,3.0,120.0,240
1959,Thanisandra,3,1573.0,3.0,95.0,218
1960,Sarjapur  Road,2,1255.0,2.0,92.0,203
1961,Benson Town,4,1400.0,3.0,91.15,44
1962,Kannamangala,2,1235.0,2.0,43.63,132
1963,Sarjapur  Road,3,1380.0,2.0,52.0,203
1964,Vittasandra,2,1238.0,2.0,67.0,233
1965,others,3,1465.0,2.0,74.72,240
1966,Thigalarapalya,2,1418.0,2.0,103.0,219
1967,Anekal,1,351.0,1.0,16.0,18
1968,Uttarahalli,2,1279.0,2.0,48.0,225
1969,Uttarahalli,3,1845.0,2.0,68.27,225
1970,others,3,1360.0,2.0,59.27,240
1971,others,3,1150.0,2.0,75.0,240
1972,Whitefield,2,1260.0,2.0,49.5,234
1973,others,3,1200.0,3.0,74.0,240
1974,Dasanapura,2,965.0,2.0,42.5,66
1975,Hoodi,3,1350.0,2.0,48.0,100
1976,Bhoganhalli,2,1447.0,2.0,75.97,46
1977,others,3,1229.0,3.0,86.03,240
1978,Kudlu,2,1027.0,2.0,43.0,151
1979,Gottigere,2,1153.0,2.0,48.5,85
1980,Whitefield,4,2856.0,5.0,145.5,234
1981,Malleshpalya,2,1065.0,2.0,50.0,163
1982,others,2,1030.0,2.0,61.0,240
1983,Mallasandra,2,1340.0,2.0,61.0,162
1984,Marathahalli,4,4000.0,5.0,212.0,165
1985,others,1,600.0,1.0,32.0,240
1986,Begur Road,3,1410.0,2.0,44.42,42
1987,Varthur,2,1055.0,2.0,45.35,226
1988,Yelahanka,2,1304.0,2.0,79.0,236
1989,Kammasandra,2,990.0,2.0,31.5,129
1990,7th Phase JP Nagar,2,1035.0,2.0,39.33,7
1991,Tumkur Road,1,700.0,1.0,30.09,223
1992,Sonnenahalli,2,1120.0,2.0,43.0,213
1993,Haralur Road,2,1300.0,2.0,73.0,93
1994,Tumkur Road,2,1239.0,2.0,82.0,223
1995,Sarjapur  Road,3,1403.0,3.0,51.63,203
1996,Hosa Road,2,1365.0,2.0,92.0,104
1997,Subramanyapura,3,1130.0,2.0,45.19,214
1998,Green Glen Layout,3,1776.42,3.0,105.0,86
1999,Haralur Road,2,1194.0,2.0,47.0,93
2000,others,2,1107.0,2.0,33.0,240
2001,Nagavara,3,2319.0,3.0,180.0,176
2002,others,3,1520.0,3.0,80.0,240
2003,Kannamangala,3,1536.0,3.0,89.0,132
2004,others,4,3000.0,4.0,240.0,240
2005,others,2,1050.0,2.0,38.0,240
2006,Hoodi,3,1850.0,3.0,146.0,100
2007,Billekahalli,2,1112.0,2.0,62.0,47
2008,Marathahalli,3,1535.0,3.0,72.5,165
2009,Kanakpura Road,2,1050.0,2.0,35.0,131
2010,7th Phase JP Nagar,3,1250.0,3.0,65.0,7
2011,Kalena Agrahara,2,1187.0,2.0,52.0,125
2012,9th Phase JP Nagar,2,1164.0,2.0,56.0,9
2013,Electronic City Phase II,3,1395.0,2.0,62.78,78
2014,Arekere,3,2072.0,3.0,108.0,21
2015,Kanakpura Road,3,1450.0,3.0,60.91,131
2016,Bannerghatta Road,3,1550.0,3.0,82.0,37
2017,others,2,1315.0,2.0,90.0,240
2018,Hebbal,4,3067.0,4.0,230.0,95
2019,others,2,1210.0,2.0,72.0,240
2020,Bisuvanahalli,3,1075.0,2.0,47.0,49
2021,others,3,1215.0,3.0,42.2,240
2022,Kaggadasapura,3,1470.0,2.0,75.0,122
2023,others,4,30000.0,4.0,2100.0,240
2024,Hosur Road,3,1590.0,2.0,125.0,107
2025,Kanakpura Road,2,1050.0,2.0,36.75,131
2026,Raja Rajeshwari Nagar,2,1306.0,2.0,55.91,193
2027,others,3,1445.0,3.0,64.0,240
2028,Sarjapur  Road,3,1220.0,3.0,58.0,203
2029,Sarjapur,4,3190.0,3.0,160.0,202
2030,Ramagondanahalli,2,1215.0,2.0,51.26,196
2031,Budigere,3,1920.0,2.0,88.0,55
2032,Dodda Nekkundi,2,1390.0,2.0,60.0,70
2033,Hoodi,2,1196.0,2.0,71.74,100
2034,Bannerghatta Road,3,1550.0,2.0,75.0,37
2035,Thigalarapalya,2,1418.0,2.0,101.0,219
2036,Varthur Road,3,1655.0,3.0,115.0,227
2037,KR Puram,2,1115.0,2.0,33.45,119
2038,others,2,1170.0,2.0,68.0,240
2039,Anekal,2,1035.0,2.0,38.3,18
2040,Singasandra,3,1306.0,2.0,58.0,210
2041,Kengeri,2,750.0,2.0,22.0,139
2042,Thanisandra,3,1917.0,3.0,122.0,218
2043,Kaggadasapura,3,1615.0,3.0,58.0,122
2044,Marathahalli,2,1071.0,2.0,52.25,165
2045,5th Phase JP Nagar,3,1400.0,2.0,88.0,5
2046,Tumkur Road,2,1246.0,2.0,82.0,223
2047,Sarjapur,2,1215.0,2.0,40.0,202
2048,Munnekollal,2,1200.0,2.0,49.5,169
2049,Kodigehaali,2,1200.0,2.0,60.0,143
2050,Kaval Byrasandra,2,945.0,2.0,50.0,137
2051,Hormavu,2,1175.0,2.0,52.0,103
2052,Whitefield,2,920.0,2.0,63.0,234
2053,others,2,1600.0,2.0,110.0,240
2054,others,2,955.0,1.0,34.01,240
2055,Ardendale,3,1750.0,3.0,100.0,20
2056,Uttarahalli,3,1425.0,2.0,64.0,225
2057,Whitefield,2,1165.0,2.0,40.5,234
2058,Kaggadasapura,2,1050.0,2.0,48.0,122
2059,others,3,1370.0,2.0,75.0,240
2060,Electronic City,3,1374.0,2.0,72.0,77
2061,Harlur,3,1754.0,3.0,124.0,94
2062,Kothanur,3,1847.0,3.0,110.0,150
2063,Ambedkar Nagar,3,1850.0,4.0,139.0,14
2064,Chikka Tirupathi,3,3297.0,3.0,135.0,60
2065,others,2,1187.0,2.0,45.0,240
2066,Bommasandra Industrial Area,3,1400.0,2.0,40.44,52
2067,Doddaballapur,3,3000.0,2.0,120.0,71
2068,Thanisandra,1,693.0,1.0,34.3,218
2069,KR Puram,2,1021.0,2.0,48.0,119
2070,Thigalarapalya,2,1165.0,2.0,95.0,219
2071,Horamavu Agara,3,1756.0,3.0,92.0,101
2072,Bharathi Nagar,3,1739.0,3.0,105.0,45
2073,Varthur,2,1280.0,2.0,65.0,226
2074,Marathahalli,2,1215.0,2.0,58.86,165
2075,Munnekollal,2,950.0,2.0,46.5,169
2076,Kengeri,3,1082.0,2.0,49.0,139
2077,7th Phase JP Nagar,2,1050.0,2.0,42.0,7
2078,Devanahalli,2,1080.0,2.0,53.35,68
2079,Arekere,2,1100.0,2.0,55.0,21
2080,Ardendale,4,3200.0,4.0,205.0,20
2081,Sarjapur  Road,2,1311.0,2.0,78.0,203
2082,Raja Rajeshwari Nagar,3,1608.0,3.0,67.98,193
2083,Begur Road,2,1160.0,2.0,36.0,42
2084,Whitefield,2,1170.0,2.0,71.0,234
2085,Kengeri,2,1155.0,2.0,40.6,139
2086,Hebbal,3,1255.0,2.0,77.68,95
2087,Rayasandra,2,1065.0,2.0,44.95,198
2088,Neeladri Nagar,1,674.0,1.0,21.0,179
2089,Ambedkar Nagar,3,1936.0,4.0,126.0,14
2090,others,2,1100.0,2.0,38.45,240
2091,Ramagondanahalli,3,2257.0,4.0,157.0,196
2092,Nagarbhavi,2,1055.0,2.0,55.0,174
2093,Raja Rajeshwari Nagar,3,1530.0,3.0,51.87,193
2094,others,3,1700.0,3.0,97.0,240
2095,Raja Rajeshwari Nagar,3,1575.0,2.0,78.0,193
2096,Rajiv Nagar,2,1263.0,2.0,93.32,195
2097,KR Puram,3,1559.0,3.0,69.315,119
2098,Kengeri Satellite Town,2,1043.0,2.0,65.0,140
2099,Hennur,2,1255.0,2.0,53.5,98
2100,JP Nagar,2,1352.5,2.0,93.865,113
2101,Yelahanka,3,1550.0,3.0,120.0,236
2102,Sarjapur  Road,3,1220.0,3.0,56.0,203
2103,others,3,1360.0,3.0,55.0,240
2104,others,2,1100.0,2.0,75.0,240
2105,8th Phase JP Nagar,3,1455.0,3.0,73.31,8
2106,KR Puram,2,1035.0,2.0,40.5,119
2107,Harlur,2,1152.0,2.0,69.0,94
2108,Bellandur,2,1299.0,2.0,82.0,43
2109,Sarjapur  Road,3,1157.0,2.0,75.0,203
2110,Rachenahalli,2,1050.0,2.0,52.5,192
2111,Pai Layout,2,1050.0,2.0,40.0,185
2112,Vittasandra,2,1246.0,2.0,67.4,233
2113,others,3,1929.0,3.0,115.0,240
2114,Hennur,2,1285.0,2.0,60.0,98
2115,Margondanahalli,3,1200.0,2.0,65.0,166
2116,others,4,3161.0,4.0,214.0,240
2117,Sompura,3,1025.0,2.0,37.0,212
2118,Malleshwaram,2,1124.0,3.0,80.0,164
2119,Balagere,2,1012.0,2.0,54.59,28
2120,8th Phase JP Nagar,2,871.0,2.0,55.0,8
2121,others,2,1020.0,2.0,40.0,240
2122,Rachenahalli,3,1550.0,3.0,73.5,192
2123,Akshaya Nagar,3,1410.0,2.0,80.0,12
2124,Chikka Tirupathi,4,3500.0,5.0,150.0,60
2125,Whitefield,2,1118.0,2.0,75.0,234
2126,Thanisandra,2,1098.0,2.0,68.0,218
2127,Kanakapura,2,1130.0,2.0,45.2,130
2128,Sarjapur  Road,2,1145.0,2.0,75.0,203
2129,others,2,1051.0,2.0,33.0,240
2130,Marathahalli,2,1102.0,2.0,53.67,165
2131,Hebbal,2,823.0,2.0,50.63,95
2132,Abbigere,2,880.0,2.0,35.0,11
2133,Budigere,3,1991.0,4.0,100.0,55
2134,TC Palaya,3,1100.0,3.0,50.0,216
2135,Gubbalala,3,1745.0,3.0,115.0,87
2136,others,2,1100.0,2.0,70.0,240
2137,5th Phase JP Nagar,2,1450.0,2.0,58.0,5
2138,Singasandra,4,3366.0,4.0,120.0,210
2139,Sahakara Nagar,2,1150.0,2.0,54.0,199
2140,Kanakpura Road,3,1843.0,3.0,95.84,131
2141,Bommanahalli,2,1090.0,3.0,44.0,50
2142,Kaggadasapura,2,1132.0,2.0,42.0,122
2143,Hulimavu,2,1375.0,2.0,80.0,108
2144,Thanisandra,1,760.0,1.0,50.3,218
2145,Kaggadasapura,2,1180.0,2.0,65.0,122
2146,Jigani,2,918.0,2.0,45.0,117
2147,Margondanahalli,2,1200.0,1.0,53.0,166
2148,HSR Layout,2,1372.0,2.0,61.0,92
2149,Ardendale,3,1728.0,3.0,95.0,20
2150,BTM 2nd Stage,2,1200.0,2.0,80.0,24
2151,6th Phase JP Nagar,2,1280.0,2.0,56.0,6
2152,others,3,1455.0,2.0,56.0,240
2153,Rachenahalli,1,440.0,1.0,28.0,192
2154,Kanakpura Road,3,1500.0,3.0,97.0,131
2155,Whitefield,3,1800.0,3.0,110.0,234
2156,Mysore Road,3,1525.0,3.0,96.0,171
2157,Rachenahalli,2,1204.0,2.0,38.5,192
2158,Old Madras Road,2,1225.0,2.0,53.55,183
2159,Bannerghatta Road,3,1650.0,3.0,122.0,37
2160,others,4,4200.0,4.0,255.0,240
2161,others,2,1200.0,2.0,55.0,240
2162,9th Phase JP Nagar,2,1005.0,2.0,42.0,9
2163,Whitefield,3,1562.0,3.0,103.0,234
2164,Devanahalli,4,5000.0,5.0,395.0,68
2165,Ramamurthy Nagar,2,1200.0,2.0,42.0,197
2166,Kasavanhalli,3,1555.0,3.0,82.5,134
2167,KR Puram,2,1550.0,2.0,71.0,119
2168,Whitefield,2,1190.0,2.0,67.0,234
2169,Chikkalasandra,2,1070.0,2.0,50.0,62
2170,Jalahalli East,2,1020.0,2.0,42.48,116
2171,Yelahanka,3,1610.0,3.0,115.0,236
2172,others,1,700.0,1.0,41.0,240
2173,others,3,1300.0,2.0,49.0,240
2174,Hebbal,3,1069.0,3.0,65.4,95
2175,Marathahalli,3,1900.0,3.0,123.0,165
2176,Old Airport Road,2,1655.0,2.0,97.65,182
2177,Uttarahalli,2,1155.0,2.0,40.42,225
2178,Sarjapur  Road,3,1300.0,2.0,70.0,203
2179,Electronic City,2,1100.0,2.0,45.0,77
2180,Doddathoguru,2,1030.0,2.0,42.0,73
2181,Vittasandra,2,2105.0,2.0,70.2,233
2182,Bhoganhalli,3,1700.0,3.0,126.0,46
2183,Jakkur,3,1760.0,3.0,139.0,114
2184,others,2,1400.0,2.0,67.0,240
2185,others,2,1200.0,2.0,53.0,240
2186,Bannerghatta Road,2,912.0,2.0,55.0,37
2187,Whitefield,2,1102.0,2.0,48.0,234
2188,others,3,1535.0,3.0,55.0,240
2189,Haralur Road,2,1243.0,2.0,46.0,93
2190,Jigani,2,918.0,2.0,63.2,117
2191,Begur Road,3,1500.0,2.0,70.0,42
2192,Kasavanhalli,3,1476.0,3.0,89.0,134
2193,Mysore Road,2,1200.0,2.0,65.0,171
2194,Vijayanagar,1,606.0,1.0,34.78,230
2195,others,2,1100.0,2.0,61.0,240
2196,Garudachar Palya,3,1295.0,2.0,59.5,82
2197,Neeladri Nagar,1,527.0,1.0,26.0,179
2198,OMBR Layout,2,1300.0,2.0,80.0,181
2199,others,1,1260.0,1.0,41.0,240
2200,Koramangala,2,1140.0,2.0,75.2,148
2201,Whitefield,3,2321.0,4.0,128.0,234
2202,Sarjapur  Road,2,1390.0,2.0,62.0,203
2203,Sarjapur  Road,3,1725.0,3.0,90.0,203
2204,Hennur Road,3,1186.0,2.0,63.0,99
2205,Kanakpura Road,2,1230.0,2.0,85.0,131
2206,Yeshwanthpur,3,1313.0,3.0,96.0,239
2207,TC Palaya,2,900.0,2.0,55.0,216
2208,Ambalipura,2,1250.0,2.0,66.25,13
2209,Binny Pete,1,660.0,1.0,54.0,48
2210,Old Madras Road,2,1100.0,2.0,70.0,183
2211,Electronics City Phase 1,2,1015.0,2.0,56.0,79
2212,Gottigere,1,812.0,1.0,26.0,85
2213,others,3,1360.0,2.0,65.0,240
2214,Nehru Nagar,3,2167.0,3.0,170.0,180
2215,Raja Rajeshwari Nagar,2,1200.0,2.0,35.0,193
2216,others,2,1165.0,2.0,75.0,240
2217,BTM 2nd Stage,2,1274.0,2.0,70.0,24
2218,Raja Rajeshwari Nagar,2,1151.0,2.0,39.02,193
2219,Thubarahalli,3,1626.0,2.0,120.0,220
2220,Banashankari Stage V,2,1035.0,2.0,35.77,32
2221,others,3,1272.0,4.0,75.0,240
2222,others,2,965.0,2.0,45.0,240
2223,Kothannur,2,1070.0,2.0,42.79,149
2224,Raja Rajeshwari Nagar,3,1570.0,2.0,65.0,193
2225,others,2,780.0,2.0,25.0,240
2226,others,3,1000.0,2.0,65.0,240
2227,5th Phase JP Nagar,3,1700.0,2.0,100.0,5
2228,Haralur Road,3,1850.0,3.0,110.0,93
2229,Kereguddadahalli,2,904.0,2.0,30.0,141
2230,others,2,1121.0,2.0,43.72,240
2231,7th Phase JP Nagar,3,1385.0,2.0,58.17,7
2232,Sahakara Nagar,2,1270.0,2.0,69.85,199
2233,Kanakpura Road,3,1450.0,3.0,56.0,131
2234,Mahadevpura,1,730.0,1.0,35.0,160
2235,Raja Rajeshwari Nagar,3,1580.0,3.0,53.56,193
2236,Thanisandra,2,1111.0,2.0,50.0,218
2237,Varthur,2,977.0,2.0,36.0,226
2238,others,2,674.0,1.0,19.9,240
2239,Sarjapur,4,2540.0,4.0,115.0,202
2240,Jakkur,2,1290.0,2.0,100.0,114
2241,Abbigere,2,795.0,2.0,32.54,11
2242,Kanakpura Road,2,700.0,1.0,35.0,131
2243,others,3,1306.0,2.0,58.0,240
2244,others,3,2401.0,3.0,185.0,240
2245,Bommenahalli,4,1670.0,3.0,135.0,53
2246,Marsur,3,1200.0,3.0,90.0,167
2247,Dodda Nekkundi,3,1804.0,3.0,121.0,70
2248,Hoskote,3,1225.0,3.0,40.0,106
2249,Thanisandra,2,1185.5,2.0,58.68,218
2250,Bellandur,2,900.0,2.0,56.0,43
2251,Binny Pete,2,1350.0,2.0,91.0,48
2252,Kaggalipura,1,700.0,1.0,36.0,123
2253,Mysore Road,2,1005.0,2.0,35.175,171
2254,Poorna Pragna Layout,2,1160.0,2.0,46.39,189
2255,Hennur Road,3,1680.0,3.0,99.27,99
2256,LB Shastri Nagar,2,1043.0,2.0,55.0,155
2257,Hebbal,2,1040.0,2.0,46.0,95
2258,Tindlu,3,1357.0,2.0,65.0,222
2259,others,2,1225.0,2.0,47.0,240
2260,Yelachenahalli,2,1130.0,2.0,40.0,235
2261,Basavangudi,4,2500.0,4.0,150.0,38
2262,Sultan Palaya,3,1700.0,3.0,120.0,215
2263,Doddathoguru,3,1549.0,3.0,65.0,73
2264,Yeshwanthpur,2,1400.0,2.0,100.0,239
2265,Dodda Nekkundi,2,1080.0,2.0,50.0,70
2266,Haralur Road,2,1225.0,2.0,67.38,93
2267,Abbigere,2,1005.0,2.0,39.59,11
2268,Whitefield,2,1320.0,2.0,95.0,234
2269,Anandapura,4,1475.0,2.0,50.0,16
2270,Kudlu Gate,3,1707.0,2.0,99.745,152
2271,others,2,1110.0,2.0,51.0,240
2272,others,2,1300.0,2.0,54.0,240
2273,Electronic City,2,1128.0,2.0,65.35,77
2274,Jakkur,2,1452.19,2.0,100.0,114
2275,Banashankari,3,2600.0,4.0,135.0,29
2276,Sanjay nagar,2,630.0,1.0,35.0,200
2277,Hosa Road,2,1243.0,2.0,48.5,104
2278,others,2,960.0,2.0,32.0,240
2279,others,3,1690.0,3.0,100.0,240
2280,Whitefield,2,735.0,2.0,35.0,234
2281,Banaswadi,2,1365.0,2.0,73.0,34
2282,Hebbal,2,1420.0,2.0,99.39,95
2283,Somasundara Palya,3,1570.0,3.0,68.0,211
2284,Bisuvanahalli,2,850.0,1.0,32.0,49
2285,7th Phase JP Nagar,3,1575.0,2.0,110.0,7
2286,Thigalarapalya,2,1418.0,2.0,104.0,219
2287,Uttarahalli,2,1050.0,2.0,42.0,225
2288,Hennur Road,2,1065.0,2.0,42.6,99
2289,Ulsoor,3,1340.0,3.0,90.0,224
2290,Yelahanka New Town,3,1610.0,3.0,92.0,237
2291,Electronic City Phase II,2,1160.0,2.0,33.5,78
2292,Kudlu,2,1092.0,2.0,44.0,151
2293,Parappana Agrahara,2,1194.0,2.0,47.0,187
2294,Yelahanka,3,1455.0,3.0,61.5,236
2295,others,2,799.0,2.0,38.0,240
2296,Whitefield,3,1896.0,3.0,75.0,234
2297,Ardendale,2,1100.0,2.0,48.0,20
2298,Bellandur,2,1350.0,2.0,79.0,43
2299,others,3,1355.0,3.0,61.0,240
2300,Electronic City,2,1128.0,2.0,65.0,77
2301,others,2,1350.0,2.0,90.0,240
2302,Kasavanhalli,3,1493.0,3.0,82.0,134
2303,8th Phase JP Nagar,2,1098.0,2.0,43.91,8
2304,others,3,1460.0,3.0,88.0,240
2305,Varthur,2,1091.0,2.0,32.0,226
2306,Yelahanka,2,1180.0,2.0,42.0,236
2307,Kanakpura Road,2,1366.0,3.0,76.85,131
2308,others,3,1685.0,3.0,95.0,240
2309,Koramangala,2,1260.0,2.0,100.0,148
2310,Whitefield,3,3010.0,3.0,200.0,234
2311,Whitefield,2,1346.0,2.0,96.17,234
2312,Sarjapur  Road,3,1476.0,2.0,98.94,203
2313,7th Phase JP Nagar,3,1850.0,3.0,140.0,7
2314,Electronic City,2,755.0,1.0,34.0,77
2315,Parappana Agrahara,2,1194.0,2.0,46.0,187
2316,others,1,800.0,1.0,52.0,240
2317,Vijayanagar,2,1352.0,2.0,68.0,230
2318,Thanisandra,3,2002.0,3.0,112.0,218
2319,others,4,4000.0,5.0,280.0,240
2320,Kaval Byrasandra,2,1060.0,2.0,45.0,137
2321,Kanakpura Road,3,1419.59,2.0,59.0,131
2322,Raja Rajeshwari Nagar,2,1196.0,2.0,51.15,193
2323,Electronic City,3,1220.0,2.0,35.24,77
2324,Electronics City Phase 1,3,1595.0,3.0,75.0,79
2325,Banashankari,2,1260.0,2.0,75.0,29
2326,Hebbal,2,1100.0,2.0,47.0,95
2327,ISRO Layout,2,1180.0,2.0,52.0,109
2328,Electronic City,4,4000.0,5.0,150.0,77
2329,Akshaya Nagar,3,1662.0,3.0,85.0,12
2330,Hennur,2,1285.0,2.0,60.0,98
2331,Ambedkar Nagar,3,1862.0,3.0,119.0,14
2332,Raja Rajeshwari Nagar,2,1419.0,2.0,48.0,193
2333,Whitefield,3,1410.0,3.0,43.71,234
2334,Raja Rajeshwari Nagar,3,1560.0,2.0,62.4,193
2335,Thanisandra,3,1634.0,3.0,78.0,218
2336,Whitefield,3,1150.0,2.0,44.0,234
2337,others,2,1100.0,2.0,53.0,240
2338,Yelahanka,3,1616.0,3.0,65.0,236
2339,Nagavarapalya,2,1392.0,2.0,99.0,177
2340,Jakkur,3,1798.0,3.0,120.0,114
2341,Babusapalaya,3,1675.0,3.0,75.0,26
2342,others,5,2000.0,4.0,103.0,240
2343,Hebbal,3,1700.0,3.0,124.0,95
2344,Hulimavu,2,1248.0,2.0,69.0,108
2345,others,2,1147.0,2.0,54.0,240
2346,Sultan Palaya,2,1100.0,2.0,40.0,215
2347,Vijayanagar,3,1527.0,3.0,115.0,230
2348,Kanakpura Road,1,525.0,1.0,25.0,131
2349,Kaggadasapura,2,1100.0,2.0,58.0,122
2350,Seegehalli,2,1118.0,2.0,37.5,207
2351,Kanakapura,3,1476.0,3.0,75.0,130
2352,others,3,2100.0,3.0,75.0,240
2353,others,3,1215.0,2.0,46.5,240
2354,Ambalipura,2,1332.0,2.0,79.0,13
2355,Hennur Road,2,1350.0,2.0,49.0,99
2356,Haralur Road,2,1243.0,2.0,46.0,93
2357,NGR Layout,2,1105.0,2.0,49.73,172
2358,Kasavanhalli,2,1200.0,2.0,50.0,134
2359,Ramagondanahalli,2,1251.0,2.0,47.4,196
2360,Kambipura,2,883.0,2.0,45.0,127
2361,Pai Layout,3,1400.0,2.0,67.0,185
2362,Hegde Nagar,3,1703.0,3.0,113.0,97
2363,NRI Layout,5,2500.0,5.0,130.0,173
2364,Varthur,3,1250.0,3.0,71.0,226
2365,Jigani,2,933.0,2.0,43.0,117
2366,others,1,461.82,1.0,31.7,240
2367,Brookefield,2,1262.0,2.0,75.0,54
2368,Yelahanka,2,915.0,2.0,48.0,236
2369,Panathur,3,1370.0,2.0,61.5,186
2370,Malleshpalya,2,1210.0,2.0,55.0,163
2371,others,3,1500.0,2.0,85.0,240
2372,others,2,1065.0,2.0,50.0,240
2373,Ramamurthy Nagar,3,1515.0,3.0,65.0,197
2374,Sarjapura - Attibele Road,4,1800.0,4.0,110.0,204
2375,Uttarahalli,3,1300.0,2.0,55.0,225
2376,Vijayanagar,2,989.0,2.0,60.0,230
2377,Jakkur,2,1300.0,2.0,85.0,114
2378,Marathahalli,2,1045.0,2.0,60.0,165
2379,others,2,1205.0,2.0,42.18,240
2380,others,2,1260.0,2.0,75.0,240
2381,Bommanahalli,3,1250.0,2.0,42.5,50
2382,others,2,1199.0,2.0,50.0,240
2383,Hennur Road,2,1385.0,2.0,83.09,99
2384,Lakshminarayana Pura,2,1149.0,2.0,75.0,157
